,name,link,min_money,max_money,value,site
20,"Инженер-технолог (проектировщик ТХ, ПВ)",https://hh.ru/vacancy/49206224?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,80000.0,100000.0,руб.,https://www.hh.ru/search/vacancy
21,Ведущий инженер по наружным сетям,https://hh.ru/vacancy/49116769?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,100000.0,120000.0,руб.,https://www.hh.ru/search/vacancy
22,Менеджер по продажам теплообменников и тепловых пунктов / Специалист по работе с клиентами,https://hh.ru/vacancy/49218074?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,100000.0,150000.0,руб.,https://www.hh.ru/search/vacancy
23,Специалист по ИРД по инженерным сетям,https://hh.ru/vacancy/48931611?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,,,,https://www.hh.ru/search/vacancy
24,Главный специалист/сметчик,https://hh.ru/vacancy/48757280?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,84825.0,,руб.,https://www.hh.ru/search/vacancy
25,Техник по вентиляции и кондиционированию,https://hh.ru/vacancy/48366293?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,45000.0,50000.0,руб.,https://www.hh.ru/search/vacancy
26,Начальник участка внутренних инженерных сетей и систем,https://hh.ru/vacancy/48118997?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,,,,https://www.hh.ru/search/vacancy
27,Ведущий Инженер-конструктор,https://hh.ru/vacancy/49219175?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,,,,https://www.hh.ru/search/vacancy
28,"Инженер-проектировщик (Отопление, Вентиляция) РСУ",https://hh.ru/vacancy/46350797?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,85000.0,,руб.,https://www.hh.ru/search/vacancy
29,Ведущий менеджер по продаже отопительного оборудования,https://hh.ru/vacancy/48618794?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,100000.0,,руб.,https://www.hh.ru/search/vacancy
30,Менеджер по продажам оборудования (г. Щелково),https://hh.ru/vacancy/48454129?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,60000.0,120000.0,руб.,https://www.hh.ru/search/vacancy
31,"Советник, Отдел развития и нормативно-методологического обеспечения/Департамента электроэнергетики",https://hh.ru/vacancy/49259139?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,,,,https://www.hh.ru/search/vacancy
32,Ведущий эксперт,https://hh.ru/vacancy/48794252?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,,,,https://www.hh.ru/search/vacancy
33,Начальник АХО/Управляющий коммерческой недвижимостью/Объектами (Эксплуатация БЦ/ТЦ/Street-Retail),https://hh.ru/vacancy/49082035?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,80000.0,,руб.,https://www.hh.ru/search/vacancy
34,Начальник отделения учета и списания котельного топлива,https://hh.ru/vacancy/47466235?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,60000.0,60000.0,руб.,https://www.hh.ru/search/vacancy
35,Бренд-менеджер (инженерная сантехника),https://hh.ru/vacancy/49235437?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,110000.0,130000.0,руб.,https://www.hh.ru/search/vacancy
36,Инженер-программист отдела по наладке,https://hh.ru/vacancy/46392856?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,,,,https://www.hh.ru/search/vacancy
37,Специалист отдела сопровождения информационных систем,https://hh.ru/vacancy/46186977?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,,,,https://www.hh.ru/search/vacancy
38,"Бизнес архитектор направления IoT (ЖКХ, Энергетика)",https://hh.ru/vacancy/49259353?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,,,,https://www.hh.ru/search/vacancy
39,Инженер-теплотехник,https://hh.ru/vacancy/46164741?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,43000.0,,руб.,https://www.hh.ru/search/vacancy
40,Инженер - теплотехник (Леруа Мерлен Мытищи),https://hh.ru/vacancy/46601377?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,,,,https://www.hh.ru/search/vacancy
41,"Инженер по эксплуатации здания - теплотехник (Леруа Мерлен, г. Наро Фоминск)",https://hh.ru/vacancy/47703324?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,70000.0,80000.0,руб.,https://www.hh.ru/search/vacancy
42,Главный специалист/инженер-проектировщик АСУ ТП,https://hh.ru/vacancy/47333565?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,115000.0,,руб.,https://www.hh.ru/search/vacancy
